id	front	back	tags
wereldreizigers-de-wereldreiziger	wereldreizigers (de wereldreiziger)	globetrotters	travel
de-reiziger	de reiziger	traveller	travel
de-verandering	de verandering	change	travel
door-trokken-trekken-door	door ... trokken (trekken (door))	*hier:* to travel, *ook:* to pull	travel
beleven	beleven	to experience	travel
hoe-hoe	hoe ... hoe ...	the ... the ... (i.e. the further, the better)	travel
spreekt-aan-aanspreken	spreekt ... aan (aanspreken)	to appeal	travel
eenmaal	eenmaal	*hier:* just, simply, *ook:* once	travel
ontdekken	ontdekken	to discover	travel
de-blik	de blik	*hier:* perspective, *ook:* look, glance	travel
vanzelfsprekend	vanzelfsprekend	obvious	travel
ontbreekt-ontbreken-aan	ontbreekt (ontbreken (aan))	to miss, to lack	travel
gewaardeerd-waarderen	gewaardeerd (waarderen)	to appreciate	travel
de-bestemming	de bestemming	destination	travel
spannend	spannend	exciting	travel
zwerven	zwerven	to wander	travel
zelden	zelden	rarely	travel
verrast-verrassen	verrast (verrassen)	to surprise	travel
ge-indigd-eindigen-met	geëindigd (eindigen (met))	to end (with)	travel
het-zandstuifgebied	het zandstuifgebied	sand drift region	travel,nature
de-heide	de heide	heather, heath	travel,nature
bloeide-bloeien	bloeide (bloeien)	to bloom, to blossom	travel,nature
rook-ruiken	rook (ruiken)	to smell	travel,nature
tegenslagen-de-tegenslag	tegenslagen (de tegenslag)	setbacks	travel
tochten-de-tocht	tochten (de tocht)	tours, trips	travel
sowieso	sowieso	*hier:* anyway, *ook:* in any case	travel
opvangen	opvangen	*hier:* to deal with (setbacks), *ook:* to catch	travel
de-eend	de eend	duck	travel,nature
de-eilandengroep	de eilandengroep	archipelago, group of islands	travel,nature
het-vogelparadijs	het vogelparadijs	bird paradise	travel,nature
waaide-waaien	waaide (waaien)	to blow (wind)	travel,nature
enorm	enorm	*hier:* terribly, *ook:* enormous(ly)	travel
schuilen-voor	schuilen (voor)	to shelter (from), to hide (from)	travel
dropen-druipen	dropen (druipen)	*hier:* to be soaked, *ook:* to drip	travel
de-regen	de regen	rain	travel,nature
het-gaat-erom	Het gaat erom ...	What matters (is what you do with it)	travel
ermee	ermee	with it	travel
de-groepsreis	de groepsreis	group holiday	travel
boeken	boeken	to book	travel
genoten-genieten-van	genoten (genieten (van))	to enjoy	travel
de-zandplaat	de zandplaat	sandbank	travel,nature
strandvogels-de-strandvogel	strandvogels (de strandvogel)	shorebirds	travel,nature
zeehonden-de-zeehond	zeehonden (de zeehond)	seals	travel,nature
de-zee	de zee	sea	travel,nature
de-duisternis	de duisternis	darkness	travel,nature
ervaren	ervaren	to experience	travel
kanotochten-de-kanotocht	kanotochten (de kanotocht)	canoe trips	travel
waarbij	waarbij	in which	travel
wildkamperen	wildkamperen	wild camping	travel
wild	wild	wild	travel,nature
kamperen	kamperen	to camp (out)	travel
verwacht-verwachten	verwacht (verwachten)	to expect	travel
vullen	vullen	to fill	travel
gekleurde-kleuren	gekleurde (kleuren)	tinted (to colour)	weather
halfvol	halfvol	half full	weather
halfleeg	halfleeg	half empty	weather
leeg	leeg	empty	weather
de-hittegolf	de hittegolf	heatwave	weather
de-golf	de golf	wave	weather
ooit	ooit	*hier:* ever, *ook:* once	weather
eindelijk	eindelijk	finally	weather
aangebroken-aanbreken	aangebroken (aanbreken)	to come, to arrive	weather
de-stap	de stap	step, pace	weather
broeierig	broeierig	humid, muggy	weather
het-dekbed	het dekbed	duvet, quilt	weather
heet	heet	hot	weather
koelt-af-afkoelen	koelt ... af (afkoelen)	to cool down	weather
nauwelijks	nauwelijks	hardly, barely	weather
vanwege	vanwege	because of	weather
muggen-de-mug	muggen (de mug)	mosquitos	weather
krappe-krap	krappe (krap)	tight	weather
de-klamboe	de klamboe	mosquito net	weather
doet-dicht-dichtdoen	doet ... dicht (dichtdoen)	to close	weather
hoog	hoog	high	weather
ijskoud	ijskoud	*hier:* freezing cold, *ook:* ice cold (drink)	weather
in-je-eentje	in je eentje	on your own	weather
balen-als-een-stekker	balen als een stekker	to be seriously fed up with	weather
baalt-balen-van	baalt (balen (van))	to be fed up (with)	weather
kruipt-voorbij-voorbijkruipen	kruipt voorbij (voorbijkruipen)	to drag on	weather
voorbij	voorbij	past	weather
kruipen	kruipen	to crawl	weather
vanuit	vanuit	from	weather
de-kantoorkoelkast	de kantoorkoelkast	office refrigerator	weather
de-koelkast	de koelkast	refrigerator	weather
de-warmte	de warmte	heat	weather
